material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
org_point_63_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_64_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_65_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_66_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_67_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_68_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_69_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_70_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_71_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_72_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_73_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_74_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_75_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_76_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_77_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_78_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_79_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_80_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_81_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_82_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_83_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_84_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_85_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_0_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_1_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_2_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_3_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_4_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_5_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_6_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_7_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_8_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_9_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_10_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_11_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_12_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_13_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_14_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_15_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_16_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_17_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_18_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_19_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_20_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_21_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_22_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_23_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_24_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_25_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_26_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_27_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_28_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_29_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_30_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_31_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_32_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_33_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_34_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_35_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_36_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_37_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_38_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_39_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_40_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_41_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_42_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_43_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_44_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_45_1.06_L378,Organism,,,,,,,,,,,,,,
org_point_46_1.06_L378,Organism,,,,,,,,,,,,,,
