digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created,modified,language,bibliographic_citation
digent_23.04_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.06_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.06_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.09_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.09_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.01_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.01_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.02_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.02_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.03_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.03_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.04_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.04_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.05_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.05_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.06_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_30.06_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.01_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.01_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.02_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.02_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.03_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.03_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.04_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.04_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.05_L371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.05_R372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.06_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_3.06_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
