deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
15.05,15,Ningaloo Marine Park,-22.16173,113.78335,50,2019-08-12T08:27:00Z,2019-08-12T08:27:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
15.07,15,Ningaloo Marine Park,-22.13639,113.79163,50,2019-08-12T08:43:00Z,2019-08-12T08:43:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
15.12,15,Ningaloo Marine Park,-22.14381158,113.7899349,50,2019-08-12T08:39:00Z,2019-08-12T08:39:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
16.01,18,Ningaloo Marine Park,-22.12155,113.80074,50,2019-08-12T10:22:00Z,2019-08-12T10:22:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
16.02,16,Ningaloo Marine Park,-22.11624,113.79192,50,2019-08-12T10:28:00Z,2019-08-12T10:28:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
16.03,16,Ningaloo Marine Park,-22.10669,113.7967,50,2019-08-12T10:39:00Z,2019-08-12T10:39:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
16.04,16,Ningaloo Marine Park,-22.09742,113.8081,50,2019-08-12T10:48:00Z,2019-08-12T10:48:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
16.05,16,Ningaloo Marine Park,-22.0856,113.82563,50,2019-08-12T11:00:00Z,2019-08-12T11:00:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
17.08,17,Ningaloo Marine Park,-22.0943763,113.8193929,50,2019-08-12T10:53:00Z,2019-08-12T10:53:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
18.01,18,Ningaloo Marine Park,-22.06954369,113.812266,50,2019-08-12T12:33:00Z,2019-08-12T12:33:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
18.02,18,Ningaloo Marine Park,-22.06517499,113.8120284,50,2019-08-12T12:38:00Z,2019-08-12T12:38:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
18.03,18,Ningaloo Marine Park,-22.06563485,113.8082274,50,2019-08-12T12:46:00Z,2019-08-12T12:46:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
18.04,18,Ningaloo Marine Park,-22.06172601,113.810603,50,2019-08-12T12:50:00Z,2019-08-12T12:50:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
18.07,18,Ningaloo Marine Park,-22.06264574,113.8281828,50,2019-08-12T12:54:00Z,2019-08-12T12:54:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
18.08,18,Ningaloo Marine Park,-22.0725328,113.823194,50,2019-08-12T12:58:00Z,2019-08-12T12:58:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
19.01,19,Ningaloo Marine Park,-22.01347,113.82289,50,2019-08-12T14:42:00Z,2019-08-12T14:42:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
19.02,19,Ningaloo Marine Park,-22.00792203,113.821531,50,2019-08-12T14:44:00Z,2019-08-12T14:44:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
19.03,19,Ningaloo Marine Park,-22.00286353,113.8305585,50,2019-08-12T14:55:00Z,2019-08-12T14:55:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
19.04,19,Ningaloo Marine Park,-22.00056422,113.8255696,50,2019-08-12T14:49:00Z,2019-08-12T14:49:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
