mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,exifData,favorite,mediaComments
8.05_L373,8.05,motionDetection,2019-08-12T10:31:00Z,https://data.csiro.au/collection/,true,8.05_L373.avi,video/x-msvideo,,,
8.05_R371,8.05,motionDetection,2019-08-12T10:31:00Z,https://data.csiro.au/collection/,true,8.05_R371.avi,video/x-msvideo,,,
8.06_L369,8.06,motionDetection,2019-08-12T10:27:00Z,https://data.csiro.au/collection/,true,8.06_L369.avi,video/x-msvideo,,,
8.06_R370,8.06,motionDetection,2019-08-12T10:27:00Z,https://data.csiro.au/collection/,true,8.06_R370.avi,video/x-msvideo,,,
8.07_L367,8.07,motionDetection,2019-08-12T10:23:00Z,https://data.csiro.au/collection/,true,8.07_L367.avi,video/x-msvideo,,,
8.07_R368,8.07,motionDetection,2019-08-12T10:23:00Z,https://data.csiro.au/collection/,true,8.07_R368.avi,video/x-msvideo,,,
8.12_L375,8.12,motionDetection,2019-08-12T10:11:00Z,https://data.csiro.au/collection/,true,8.12_L375.avi,video/x-msvideo,,,
8.12_R367,8.12,motionDetection,2019-08-12T10:11:00Z,https://data.csiro.au/collection/,true,8.12_R367.avi,video/x-msvideo,,,
9.01_L373,9.01,motionDetection,2019-08-12T11:16:00Z,https://data.csiro.au/collection/,true,9.01_L373.avi,video/x-msvideo,,,
9.01_R374,9.01,motionDetection,2019-08-12T11:16:00Z,https://data.csiro.au/collection/,true,9.01_R374.avi,video/x-msvideo,,,
9.02_L378,9.02,motionDetection,2019-08-12T11:00:00Z,https://data.csiro.au/collection/,true,9.02_L378.avi,video/x-msvideo,,,
9.02_R377,9.02,motionDetection,2019-08-12T11:00:00Z,https://data.csiro.au/collection/,true,9.02_R377.avi,video/x-msvideo,,,
9.05_L367,9.05,motionDetection,2019-08-12T11:05:00Z,https://data.csiro.au/collection/,true,9.05_L367.avi,video/x-msvideo,,,
9.05_R368,9.05,motionDetection,2019-08-12T11:05:00Z,https://data.csiro.au/collection/,true,9.05_R368.avi,video/x-msvideo,,,
9.06_L369,9.06,motionDetection,2019-08-12T11:10:00Z,https://data.csiro.au/collection/,true,9.06_L369.avi,video/x-msvideo,,,
9.06_R370,9.06,motionDetection,2019-08-12T11:10:00Z,https://data.csiro.au/collection/,true,9.06_R370.avi,video/x-msvideo,,,
9.07_L372,9.07,motionDetection,2019-08-12T10:52:00Z,https://data.csiro.au/collection/,true,9.07_L372.avi,video/x-msvideo,,,
9.07_R371,9.07,motionDetection,2019-08-12T10:52:00Z,https://data.csiro.au/collection/,true,9.07_R371.avi,video/x-msvideo,,,
9.08_L375,9.08,motionDetection,2019-08-12T10:45:00Z,https://data.csiro.au/collection/,true,9.08_L375.avi,video/x-msvideo,,,
9.08_R376,9.08,motionDetection,2019-08-12T10:45:00Z,https://data.csiro.au/collection/,true,9.08_R376.avi,video/x-msvideo,,,
10.01_L373,10.01,motionDetection,2019-08-12T12:13:00Z,https://data.csiro.au/collection/,true,10.01_L373.avi,video/x-msvideo,,,
10.01_R374,10.01,motionDetection,2019-08-12T12:13:00Z,https://data.csiro.au/collection/,true,10.01_R374.avi,video/x-msvideo,,,
10.02_L369,10.02,motionDetection,2019-08-12T12:19:00Z,https://data.csiro.au/collection/,true,10.02_L369.avi,video/x-msvideo,,,
10.02_R370,10.02,motionDetection,2019-08-12T12:19:00Z,https://data.csiro.au/collection/,true,10.02_R370.avi,video/x-msvideo,,,
10.03_L367,10.03,motionDetection,2019-08-12T12:24:00Z,https://data.csiro.au/collection/,true,10.03_L367.avi,video/x-msvideo,,,
10.03_R368,10.03,motionDetection,2019-08-12T12:24:00Z,https://data.csiro.au/collection/,true,10.03_R368.avi,video/x-msvideo,,,
10.04_L375,10.04,motionDetection,2019-08-12T12:33:00Z,https://data.csiro.au/collection/,true,10.04_L375.avi,video/x-msvideo,,,
10.04_R376,10.04,motionDetection,2019-08-12T12:33:00Z,https://data.csiro.au/collection/,true,10.04_R376.avi,video/x-msvideo,,,
10.07_L372,10.07,motionDetection,2019-08-12T12:40:00Z,https://data.csiro.au/collection/,true,10.07_L372.avi,video/x-msvideo,,,
10.07_R371,10.07,motionDetection,2019-08-12T12:40:00Z,https://data.csiro.au/collection/,true,10.07_R371.avi,video/x-msvideo,,,
